Кабель,Проводник,Проектная позиция Откуда,Клеммный ряд Откуда,Клемма Откуда,Подключено,Проверено,Проектная позиция Куда,Клеммный ряд Куда,Клемма Куда,Подключено,Проверено,Комментарий
,ZSC3kshe1/3,3JB007,XT2,4,Да,Да,7-ШС3.1,XT1,111,Да,Да,
,ZS3kshe2/3-1,3JB007,XT2,5,Да,Да,7-ШС3.1,XT1,117,Да,Да,
,ZSO3kshe2/3,3JB007,XT2,6,Да,Да,7-ШС3.1,XT1,118,Да,Да,
,ZS3kshe2/3-2,3JB007,XT2,7,Да,Да,7-ШС3.1,XT1,120,Да,Да,
,ZSC3kshe2/3,3JB007,XT2,8,Да,Да,7-ШС3.1,XT1,119,Да,Да,
,ZS3zpe3/3-1,3JB007,XT2,9,Да,Да,7-ШС3.1,XT1,125,Да,Да,
,ZSO3zpe3/3,3JB007,XT2,10,Да,Да,7-ШС3.1,XT1,126,Да,Да,
,ZS3zpe3/3-2,3JB007,XT2,11,Да,Да,7-ШС3.1,XT1,128,Да,Да,
,ZSC3zpe3/3,3JB007,XT2,12,Да,Да,7-ШС3.1,XT1,127,Да,Да,
,ZS3zpe4/3-1,3JB007,XT2,13,Да,Да,7-ШС3.1,XT1,133,Да,Да,
,ZSO3zpe4/3,3JB007,XT2,14,Да,Да,7-ШС3.1,XT1,134,Да,Да,
,ZS3zpe4/3-2,3JB007,XT2,15,Да,Да,7-ШС3.1,XT1,136,Да,Да,
,ZSC3zpe4/3,3JB007,XT2,16,Да,Да,7-ШС3.1,XT1,135,Да,Да,
,ZS3kshe5/3-1,3JB007,XT2,17,Да,Да,7-ШС3.1,XT1,141,Да,Да,
,ZSO3kshe5/3,3JB007,XT2,18,Да,Да,7-ШС3.1,XT1,142,Да,Да,
,ZS3kshe5/3-2,3JB007,XT2,19,Да,Да,7-ШС3.1,XT1,144,Да,Да,
,ZSC3kshe5/3,3JB007,XT2,20,Да,Да,7-ШС3.1,XT1,143,Да,Да,
," Экран",3JB007,XT,экран,Да,Да,7-ШС3.1,XT2,6,Да,Да,
C-3JB008-1,HS3kshe1/4 (N),3JB008,XT1,1,Да,Да,7-ШС3.1,XT1,147,Да,Да,
,HSC3kshe1/4 (L),3JB008,XT1,2,Да,Да,7-ШС3.1,XT1,146,Да,Да,
,HSO3kshe1/4 (L),3JB008,XT1,3,Да,Да,7-ШС3.1,XT1,145,Да,Да,
,3kshe1/4-PE,3JB008,XT1,PE,Да,Да,7-ШС3.1,XT1,148,Да,Да,
C-3JB008-2,HS3kshe2/4 (N),3JB008,XT1,4,Да,Да,7-ШС3.1,XT1,155,Да,Да,
,HSC3kshe2/4 (L),3JB008,XT1,5,Да,Да,7-ШС3.1,XT1,154,Да,Да,
,HSO3kshe2/4 (L),3JB008,XT1,6,Да,Да,7-ШС3.1,XT1,153,Да,Да,
,3kshe2/4-PE,3JB008,XT1,PE,Да,Да,7-ШС3.1,XT1,156,Да,Да,
C-3JB008-3,HS3zpe3/4 (N),3JB008,XT1,7,Да,Да,7-ШС3.1,XT1,163,Да,Да,
,HSC3zpe3/4 (L),3JB008,XT1,8,Да,Да,7-ШС3.1,XT1,162,Да,Да,
,HSO3zpe3/4 (L),3JB008,XT1,9,Да,Да,7-ШС3.1,XT1,161,Да,Да,
